product_id,created_at,title,price,old_price,description,avg_vote_rate,num_votes,labels,related_products,sizes.in_stock,sizes.out_of_stock,features.product_type,features.producer,features.collections,features.age,features.ground_type,features.type_of_class,features.upper,features.type_of_binding,features.boots_with_sock,features.collection,features.color,features.plays_in_these_boots,features.manufacturers_data,features.team,category_name,category_id,features.ball_size,features.connecting_type,features.weigh,features.league
11,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Elite Ll Fg - White,270.0,,Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goals. The flexible HybridTouch upper with strategically placed Strikeskin rubber elements and a laced construction was created to help you achieve perfect ball control. The Controlframe 2.0 outsole for natural surfaces and the adidas PRIMEKNIT collar provide stability as you give it your all.,4.8,12.0,['New'],"[199545, 199544, 199543, 199542]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3']",[],Football Boots,Adidas,Adidas Predator,Men,Firm Ground (Fg),Professional,Synthetic,Lack,No,Adidas Celestial Victory,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
12,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Elite Ll Ag - White,270.0,,Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goals. The flexible HybridTouch upper with strategically placed Strikeskin rubber fins and laceless construction was created to help you have perfect ball control. The Traxionframe outsole for artificial turf and adidas PRIMEKNIT collar provide stability as you give it your all.,5.0,1.0,['New'],[194486],"['40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3']","['39 1/3', '46']",Football Boots,Adidas,Adidas Predator,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Lack,No,Adidas Celestial Victory,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
13,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Elite Fg - White,260.0,,Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goals. The flexible HybridTouch upper with strategically placed Strikeskin rubber elements in the forefoot was created to help you have perfect contact with the ball. The Controlframe 2.0 outsole for natural surfaces and the adidas PRIMEKNIT collar provide stability as you give it your all.,,,['New'],"[199548, 199547, 199546, 198972, 190221, 190220]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3']",[],Football Boots,Adidas,Adidas Predator,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
14,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Predator Elite Sg - White,260.0,,"Enter every match knowing that you will score points in adidas Predator Elite shoes designed for goal scoring. The flexible HybridTouch upper has strategically placed Strikeskin rubber elements, providing excellent ball control. The Controlframe 2.0 outsole for soft ground play and the adidas PRIMEKNIT collar provide stability as you give it your all.",,,['New'],"[199536, 199535, 199534, 196462, 192314, 190214]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44 2/3', '45 1/3', '47 1/3']","['44', '46', '46 2/3']",Football Boots,Adidas,Adidas Predator,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,White,Jude Bellingham,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
15,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50+ Fg - Multicolor,335.99,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These football boots, which are the pinnacle of the collection, increase the speed of the shoes thanks to the Sprintframe 360+ outsole with a double plate in the front of the foot, which provides dynamic acceleration. Inside the Fibertouch upper, the Lightstrike Pro insert and Compression Fit Tunnel tongue provide comfort and security. The Sprintweb 3D texture in the front of the foot makes quick dribbles easier.",,,['New'],[199627],"['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46']","['38 2/3', '46 2/3', '47 1/3', '48', '48 2/3']",Football Boots,Adidas,Adidas F50,Men,Firm Ground (Fg),Professional,Synthetic,Lack,No,Adidas Celestial Victory,Multicolor,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
16,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Ll Fg - Multicolor,270.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These laceless Elite football boots feature a thin Fibertouch upper with a foot-hugging adidas PRIMEKNIT collar and 3D Sprintweb texture to keep the ball close to your foot. The responsive Sprintframe 360 outsole, designed for playing on natural grass, provides exceptional acceleration.",5.0,8.0,['New'],"[199579, 199578, 199577, 190236, 190227]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '48', '48 2/3']",['47 1/3'],Football Boots,Adidas,Adidas F50,Men,Firm Ground (Fg),Professional,Synthetic,Lack,No,Adidas Celestial Victory,Multicolor,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
17,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Ll Sg - Multicolor,270.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These laceless Elite football boots feature a thin Fibertouch upper with a foot-hugging adidas PRIMEKNIT collar and 3D Sprintweb texture to keep the ball close to your foot as you fly. The flexible Sprintframe 360 outsole, designed for playing on wet grass, provides excellent acceleration.",5.0,2.0,"['New', 'Last Chance']","[199634, 190231, 190230]","['39 1/3', '40']","['40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46']",Football Boots,Adidas,Adidas F50,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Lack,No,Adidas Celestial Victory,Multicolor,,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
18,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Ll Ag - Multicolor,270.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These laceless Elite football boots feature a thin Fibertouch upper with a foot-hugging adidas PRIMEKNIT collar and 3D Sprintweb texture to keep the ball close as you fly. Designed for artificial turf fields, the Traxionframe outsole provides exceptional acceleration.",,,['New'],[198985],"['40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3']","['39 1/3', '40', '46']",Football Boots,Adidas,Adidas F50,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Lack,No,Adidas Celestial Victory,Multicolor,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
19,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Fg - Multicolor,260.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These elite football boots feature a thin Fibertouch upper with a foot-hugging Compression Fit Tunnel tongue and 3D Sprintweb texture that keeps the ball close to your foot. The flexible Sprintframe 360 outsole, designed for playing on natural grass, provides exceptional acceleration.",5.0,5.0,['New'],"[199594, 199576, 199575, 199574, 199573, 192307]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '47 1/3', '48', '48 2/3']","['36 2/3', '37 1/3', '38', '38 2/3']",Football Boots,Adidas,Adidas F50,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,Multicolor,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
20,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Sg - Multicolor,260.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These elite football boots feature a thin Fibertouch upper with a foot-hugging Compression Fit Tunnel tongue and 3D Sprintweb texture that keeps the ball close to your foot as you fly. The flexible Sprintframe 360 outsole, designed for playing on wet grass, provides excellent acceleration.",4.0,1.0,['New'],"[199628, 190208, 190207, 190206]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '48 2/3']","['47 1/3', '48']",Football Boots,Adidas,Adidas F50,Men,Soft Ground (Sg/Sg-Pro),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,Multicolor,,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
21,2025-04-10T21:36:41.167902+02:00,Cleats Adidas F50 Elite Ag - Multicolor,260.0,,"Boost your pace in lightweight adidas F50 shoes designed for speed. These elite football boots feature a thin Fibertouch upper with a foot-hugging Compression Fit Tunnel tongue and 3D Sprintweb texture that keeps the ball close to your foot. Designed for artificial turf fields, the Traxionframe outsole provides exceptional acceleration.",,,['New'],"[199631, 190210, 190209]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3']",['46'],Football Boots,Adidas,Adidas F50,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Shoelace,No,Adidas Celestial Victory,Multicolor,Lionel Messi,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
22,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Copa Pure Iii Elite Ll Fg - Silver,250.0,,"Play the way you like in adidas Copa Pure 3 Elite shoes, which provide comfort and connectivity. The adidas PRIMEKNIT collar without laces, padded heel and OrthoLite® insole conform to your foot. The Fusionskin leather upper is mounted on the Comfortframe outsole, designed for a secure game on natural surfaces, making you always one of the players.",,,['New'],"[199725, 199591, 199590, 198997]","['40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46']",['39 1/3'],Football Boots,Adidas,Adidas Copa,Men,Firm Ground (Fg),Professional,Leather,Lack,No,Adidas Celestial Victory,Silver,Paulo Dybala,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
23,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Copa Pure Iii Elite Fg - Silver,240.0,,"Play the way you like in adidas Copa Pure 3 Elite shoes, which provide comfort and ball control. The fitted combination of adidas PRIMEKNIT tongue, padded heel, and OrthoLite® insole locks in your foot. The Fusionskin leather upper is set on a Comfortframe outsole, designed for a secure game on natural surfaces, making you always one with the ball.",,,['New'],"[199669, 199551, 199550, 199549, 194281]","['39 1/3', '40', '40 2/3', '41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '46 2/3', '48', '48 2/3']",['47 1/3'],Football Boots,Adidas,Adidas Copa,Men,Firm Ground (Fg),Professional,Leather,Shoelace,No,Adidas Celestial Victory,Silver,Paulo Dybala,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
24,2025-04-10T21:36:41.167902+02:00,Cleats Adidas Copa Pure Iii Elite Sg - Silver,240.0,,"Play the way you like in adidas Copa Pure 3 Elite shoes, which provide comfort and connectivity. The fitted combination of adidas PRIMEKNIT tongue, padded heel, and OrthoLite® insole locks in the foot. The Fusionskin leather upper is set on a specialized outsole designed for a secure game on soft surfaces, making you always one of the players.",,,['New'],[199560],"['41 1/3', '42', '42 2/3', '43 1/3', '44', '44 2/3', '45 1/3', '46', '47 1/3']","['39 1/3', '40', '40 2/3', '46 2/3']",Football Boots,Adidas,Adidas Copa,Men,Soft Ground (Sg/Sg-Pro),Professional,Leather,Shoelace,No,Adidas Celestial Victory,Silver,Paulo Dybala,"Adidas, Hoogoorddreef 9A, Amsterdam 1101 Ba, Nl",,boots,1,,,,
25,2025-04-10T21:36:41.167902+02:00,Cleats Nike Zoom Mercurial Vapor 16 Elite Fg - Gray,273.99,,"Do you have an obsession with speed? The biggest basketball stars have it too. That's why we created the Elite cleats with an improved 3/4 length Air Zoom cushion. This model will provide you and the fastest players with the acceleration you need to break through the defense line. As a result, we have created the most dynamic Mercurial shoes we have ever designed. All to satisfy your pursuit of perfection.Exceptional ball feelNike Gripknit is a grippy material that provides better ball feel. It has a larger surface area, giving you more space to control the ball during high-speed dribbling or to finish the game with an accurate shot on goal. In addition, it conforms to the shape of the foot and provides consistent grip in both wet and dry conditions, ensuring a snug fit comparable to track spikes. The embossed microtexture works with Gripknit technology, conforming to the foot and allowing for even better ball feel.Dynamic gripThe wavy tread pattern created by the cascadingly placed cleats covers a larger surface area in the Air Zoom cushion area and provides proper grip. The largest cleat has the same height as traditional mid cleats, so the grip is consistent everywhere. In addition to the wavy tread, we have also used studs in the shape of fir trees and blades, which make it easier to stop during dynamic turns.Perfect fitThe Flyknit upper is designed for speed. The Atomknit fabric, an extremely lightweight and durable version of Flyknit, is placed on the sides to reduce the weight of the shoes and provide support. By combining Gripknit, Atomknit, and Flyknit technologies, we have created the thinnest Mercurial upper, allowing for better ball feel and faster adaptation to the foot.",,,"['New', 'Last Chance']","[195138, 194479, 194469, 193292, 191781, 191712]","['41', '43', '44', '45']","['38.5', '39', '40', '40.5', '42', '42.5', '44.5', '45.5', '46', '47', '47.5']",Football Boots,Nike,Nike Mercurial Vapor,Men,Firm Ground (Fg),Professional,Synthetic,Shoelace,No,Nike Prism,Gray,Robert Lewandowski,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
41,2025-04-10T21:36:41.167902+02:00,Cleats Puma Ultra 5 Ultimate Fg - Black,239.99,,"How fast are ULTRA 5 ULTIMATE shoes? Fasten the straps, tie the laces and unleash your speed. The latest PUMA innovation combines the SPEEDSYSTEM outsole and FastTrax studs, providing explosive acceleration. With GripControl Pro leather and PWRTAPE SQD support, you will dominate the field with unmatched agility and precision. It will be a game at full throttle.",,,['New'],[200540],"['39', '40', '40.5', '41', '42', '42.5', '43', '44', '44.5', '45', '46']",['46.5'],Football Boots,Puma,Puma Ultra,Men,"Firm Ground (Fg), Artificial Grass (Ag/Tf)",Professional,Synthetic,Shoelace,No,Puma Audacity,Black,,"Puma Se, Puma Way 1, 91074 Herzogenaurach, De",,boots,1,,,,
26,2025-04-10T21:36:41.167902+02:00,Cleats Nike Zoom Mercurial Vapor 16 Elite Ag-Pro - Gray,273.99,,"Nike Mercurial Vapor 16 EliteAre you fascinated by speed? Just like the biggest stars of this game. That's why these Elite cleats with an improved 3/4 length Air Zoom unit were created. They provide you and the fastest players in this sport with the speed needed to break through the defensive line.Exceptional touchNike Gripknit is a sticky material that provides better contact with the ball. It covers a larger surface area, giving you more space to control the ball while dribbling at high speed or finishing the game with a shot on goal. It conforms to the shape of your foot and provides consistent grip in wet and dry conditions, ensuring a sculpted, spike-like fit. The micro-texture works with Gripknit to help mold to your foot, providing even better strikes with the cleats.Fast tractionThe wave-like traction pattern is a series of cascading ridges, engaging a larger surface area of the Air Zoom unit while still providing proper grip. The largest ridge is the same height as our traditional midfoot ridges, so grip is not compromised. We combined the wave-like ridge with fir tree and blade-shaped ridges to help you stop during quick cuts.FitThe entire Flyknit upper is designed for speed. Atomknit, an incredibly lightweight and durable Flyknit, narrows the weight on the sides and provides support. Gripknit, Atomknit, and Flyknit come together to create the thinnest Mercurial upper to date, bringing you closer to the ball and shortening the adaptation time.",,,['New'],"[194597, 193282]","['39', '40', '41', '42', '42.5', '43', '44', '45', '46', '47', '47.5']","['40.5', '44.5', '45.5']",Football Boots,Nike,Nike Mercurial Vapor,Men,Artificial Grass (Ag/Tf),Professional,Synthetic,Shoelace,No,Nike Prism,Gray,Robert Lewandowski,"Global Distributor Of Nike, Inc. 5701 West Slaughter Lane, Bldg A130 Austin Tx 78749, Us Tel.1-888-588-8834, Info@Athleteps.Com",,boots,1,,,,
